# File:  A1323.MFA_SSP_subsector_lftm_parameter.csv
# Title: paramter for lifetime function with historical and perspective lifetime iron&steel stock (subsectored & scenarioed) (scenario for 2060)
# Units: NA
# Description:  paramter for lifetime function with historical and perspective lifetime iron&steel stock (subsectored & scenarioed) (scenario for 2060)(updated 2025-08-01)
# Column types: ccnnnn
# ----------
region,scenario,T_lft_scale,M_lft_scale,C_lft_scale,P_lft_scale
Taiwan,SSP3,12.4355,19.1,38.25,6.25
USA,SSP3,18.7,28.65,57.375,9.375
Africa_Eastern,SSP4,23.94444444,35.55555556,86.16666667,17.83333333
Africa_Northern,SSP4,25.25,37.5,100,18.75
Africa_Southern,SSP4,15.66666667,23.33333333,58.66666667,12
Africa_Western,SSP4,26.46153846,39.23076923,98.07692308,19.61538462
Argentina,SSP4,20,30,75,15
Australia_NZ,SSP4,22.61,34.29318182,68.71090909,11.25
Brazil,SSP4,20,30,75,15
Canada,SSP4,18.7,28.65,38.25,9.375
Central America and Caribbean,SSP4,24.13333333,35.83333333,89.63333333,17.96666667
Central Asia,SSP4,18.5,27.5,69,14
China,SSP4,22.33333333,33.33333333,60,16.66666667
Colombia,SSP4,20,30,75,15
EU-12,SSP4,12.903,20.055,40.239,6.625
EU-15,SSP4,22.22423077,33.79230769,64.73076923,11.05769231
Ukraine,SSP4,15.66125,23.875,52.785,7.96875
Europe_Non_EU,SSP4,21.9725,33.425,62.15625,10.9375
European Free Trade Association,SSP4,25.245,38.2,76.5,12.5
India,SSP4,10,15,38,8
Indonesia,SSP4,20,30,75,15
Japan,SSP4,9.35,14.325,29.07,5
Mexico,SSP4,20,30,50,15
Middle East,SSP4,24.76470588,36.76470588,91.94117647,18.41176471
Pakistan,SSP4,20,30,75,15
Russia,SSP4,20,30,50,15
South Africa,SSP4,20,30,75,15
South America_Northern,SSP4,22.25,33.125,82.875,16.625
South America_Southern,SSP4,27,40,100,20
South Asia,SSP4,22.57142857,33.57142857,84,16.85714286
South Korea,SSP4,17.2975,26.2625,52.785,8.75
Southeast Asia,SSP4,23.54545455,35,92.09090909,17.54545455
Taiwan,SSP4,12.4355,19.1,38.25,6.25
USA,SSP4,18.7,28.65,57.375,9.375
Africa_Eastern,SSP5,22.38805556,33.95555556,65.9175,11.14583333
