# File: 1_F_steel_200R_F_11_12_final_steel_consumption.csv
# Title: Final steel consumption by IEDC region, 1900-2008
# Units: Gg
# Description: Final steel consumption from the market for final products to the use phase
# Source: IEDC database (https://www.database.industrialecology.uni-freiburg.de/); Pauliuk et al. (2013), doi:10.1016/j.resconrec.2012.11.008
# Column types: ncccccccncccccncccccccccc
# ----------
id,dataset_name,aspect 1 : element,aspect 2 : commodity,aspect 3 : origin_process,aspect 4 : origin_region,aspect 5 : destination_process,aspect 6 : destination_region,aspect 7 : time,aspect 8 : ,aspect 9 : ,aspect 10 : ,aspect 11 : ,aspect 12 : ,value,unitcode,unitcode1,stats_array_1,stats_array_2,stats_array_3,stats_array_4,comment,reserve1,reserve2,reserve3
599786,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1928,,,,,,0.014761783,Gg,yr,No uncertainty,,,,,,,
599787,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1929,,,,,,0.015288989,Gg,yr,No uncertainty,,,,,,,
599788,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1930,,,,,,0.015816196,Gg,yr,No uncertainty,,,,,,,
599789,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1931,,,,,,0.016343402,Gg,yr,No uncertainty,,,,,,,
599790,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1932,,,,,,0.016870609,Gg,yr,No uncertainty,,,,,,,
599791,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1933,,,,,,0.017397815,Gg,yr,No uncertainty,,,,,,,
599792,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1934,,,,,,0.017925022,Gg,yr,No uncertainty,,,,,,,
599793,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1935,,,,,,0.018452228,Gg,yr,No uncertainty,,,,,,,
599794,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1936,,,,,,0.018979435,Gg,yr,No uncertainty,,,,,,,
599795,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1937,,,,,,0.019506641,Gg,yr,No uncertainty,,,,,,,
599796,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1938,,,,,,0.020033848,Gg,yr,No uncertainty,,,,,,,
599797,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1939,,,,,,0.020561054,Gg,yr,No uncertainty,,,,,,,
599798,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1940,,,,,,0.021088261,Gg,yr,No uncertainty,,,,,,,
599799,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1941,,,,,,0.021615467,Gg,yr,No uncertainty,,,,,,,
599800,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1942,,,,,,0.022142674,Gg,yr,No uncertainty,,,,,,,
599801,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1943,,,,,,0.02266988,Gg,yr,No uncertainty,,,,,,,
599802,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1944,,,,,,0.023197087,Gg,yr,No uncertainty,,,,,,,
599803,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1945,,,,,,0.023724293,Gg,yr,No uncertainty,,,,,,,
